 ( -4.0261618732e-05+ 0.0000000000e+00j)  ( -4.0276079424e-05+ 0.0000000000e+00j)
 ( -4.7484276081e-05+ 0.0000000000e+00j)  ( -4.7501330922e-05+ 0.0000000000e+00j)
 ( -5.5890735131e-05+ 0.0000000000e+00j)  ( -5.5910809304e-05+ 0.0000000000e+00j)
 ( -6.5654006454e-05+ 0.0000000000e+00j)  ( -6.5677587284e-05+ 0.0000000000e+00j)
 ( -7.6968683118e-05+ 0.0000000000e+00j)  ( -7.6996327820e-05+ 0.0000000000e+00j)
 ( -9.0053021656e-05+ 0.0000000000e+00j)  ( -9.0085365836e-05+ 0.0000000000e+00j)
 ( -1.0515112766e-04+ 0.0000000000e+00j)  ( -1.0518889460e-04+ 0.0000000000e+00j)
 ( -1.2253523562e-04+ 0.0000000000e+00j)  ( -1.2257924638e-04+ 0.0000000000e+00j)
 ( -1.4250806953e-04+ 0.0000000000e+00j)  ( -1.4255925389e-04+ 0.0000000000e+00j)
 ( -1.6540526705e-04+ 0.0000000000e+00j)  ( -1.6546467536e-04+ 0.0000000000e+00j)
 ( -1.9159784659e-04+ 0.0000000000e+00j)  ( -1.9166666244e-04+ 0.0000000000e+00j)
 ( -2.2149469223e-04+ 0.0000000000e+00j)  ( -2.2157424608e-04+ 0.0000000000e+00j)
 ( -2.5554502734e-04+ 0.0000000000e+00j)  ( -2.5563681099e-04+ 0.0000000000e+00j)
 ( -2.9424084315e-04+ 0.0000000000e+00j)  ( -2.9434652511e-04+ 0.0000000000e+00j)
 ( -3.3811924407e-04+ 0.0000000000e+00j)  ( -3.3824068575e-04+ 0.0000000000e+00j)
 ( -3.8776466665e-04+ 0.0000000000e+00j)  ( -3.8790393940e-04+ 0.0000000000e+00j)
 ( -4.4381092466e-04+ 0.0000000000e+00j)  ( -4.4397032744e-04+ 0.0000000000e+00j)
 ( -5.0694302795e-04+ 0.0000000000e+00j)  ( -5.0712510578e-04+ 0.0000000000e+00j)
 ( -5.7789871882e-04+ 0.0000000000e+00j)  ( -5.7810628168e-04+ 0.0000000000e+00j)
 ( -6.5746966517e-04+ 0.0000000000e+00j)  ( -6.5770580739e-04+ 0.0000000000e+00j)
 ( -7.4650224651e-04+ 0.0000000000e+00j)  ( -7.4677036641e-04+ 0.0000000000e+00j)
 ( -8.4589786584e-04+ 0.0000000000e+00j)  ( -8.4620168549e-04+ 0.0000000000e+00j)
 ( -9.5661271820e-04+ 0.0000000000e+00j)  ( -9.5695630311e-04+ 0.0000000000e+00j)
 ( -1.0796569452e-03+ 0.0000000000e+00j)  ( -1.0800447237e-03+ 0.0000000000e+00j)
 ( -1.2160931052e-03+ 0.0000000000e+00j)  ( -1.2165298872e-03+ 0.0000000000e+00j)
 ( -1.3670338879e-03+ 0.0000000000e+00j)  ( -1.3675248830e-03+ 0.0000000000e+00j)
 ( -1.5336390070e-03+ 0.0000000000e+00j)  ( -1.5341898415e-03+ 0.0000000000e+00j)
 ( -1.7171112059e-03+ 0.0000000000e+00j)  ( -1.7177279378e-03+ 0.0000000000e+00j)
 ( -1.9186913160e-03+ 0.0000000000e+00j)  ( -1.9193804490e-03+ 0.0000000000e+00j)
 ( -2.1396523175e-03+ 0.0000000000e+00j)  ( -2.1404208127e-03+ 0.0000000000e+00j)
 ( -2.3812923568e-03+ 0.0000000000e+00j)  ( -2.3821476415e-03+ 0.0000000000e+00j)
 ( -2.6449266871e-03+ 0.0000000000e+00j)  ( -2.6458766609e-03+ 0.0000000000e+00j)
 ( -2.9318785103e-03+ 0.0000000000e+00j)  ( -2.9329315480e-03+ 0.0000000000e+00j)
